Model,DQN1 Avg. Prices,Theo. Prices,DQN2 Avg. Prices,Theo. Prices.1,DQN1 Extra-profits Δ,DQN2 Extra-profits Δ,DQN1 RPDI,DQN2 RPDI
LOGIT,1.83,1.47,1.93,1.47,1.27,0.53,0.8,1.02
HOTELLING,1.21,1.0,1.23,1.0,0.92,0.79,0.83,0.91
LINEAR,0.49,0.43,0.49,0.43,0.07,0.07,0.87,0.87
