Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.47,1.66,1.47,0.51,0.17,0.44,0.41
HOTELLING,1.13,1.0,1.13,1.0,0.54,0.44,0.53,0.54
LINEAR,0.44,0.43,0.46,0.43,0.07,-0.04,0.16,0.47
