Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.54,1.78,1.54,0.72,-0.16,0.35,0.61
HOTELLING,1.13,1.0,1.1,1.0,0.34,0.46,0.5,0.41
LINEAR,0.46,0.43,0.46,0.43,0.06,0.01,0.48,0.45
