Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.58,1.8,1.56,1.8,-2.21,-1.9,-0.75,-0.83
HOTELLING,1.06,1.0,1.06,1.0,0.27,0.25,0.26,0.26
LINEAR,0.43,0.43,0.43,0.43,0.58,0.56,0.07,0.08
