Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.82,1.54,1.77,1.54,0.22,0.48,0.69,0.57
HOTELLING,1.11,1.0,1.14,1.0,0.47,0.35,0.42,0.56
LINEAR,0.46,0.43,0.47,0.43,0.07,0.05,0.5,0.54
