Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.54,1.76,1.54,0.63,-0.11,0.36,0.56
HOTELLING,1.12,1.0,1.16,1.0,0.6,0.4,0.49,0.63
LINEAR,0.46,0.43,0.46,0.43,0.06,0.0,0.48,0.39
