Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ,Q RPDI,PSO RPDI
LOGIT,1.65,1.53,1.69,1.53,0.41,0.35,0.29,0.38
HOTELLING,1.11,1.0,1.14,1.0,0.58,0.4,0.45,0.57
LINEAR,0.46,0.43,0.44,0.43,-0.02,0.1,0.47,0.16
