Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.47,1.8,1.47,0.88,0.09,0.47,0.73
HOTELLING,1.11,1.0,1.12,1.0,0.43,0.38,0.46,0.47
LINEAR,0.46,0.43,0.46,0.43,0.04,0.02,0.48,0.49
