Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.47,1.75,1.47,0.69,0.15,0.47,0.62
HOTELLING,1.12,1.0,1.16,1.0,0.63,0.38,0.48,0.65
LINEAR,0.46,0.43,0.47,0.43,0.06,0.02,0.49,0.6
