Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.68,1.47,1.78,1.47,0.79,0.11,0.47,0.68
HOTELLING,1.12,1.0,1.09,1.0,0.31,0.43,0.5,0.36
LINEAR,0.47,0.43,0.47,0.43,0.05,0.02,0.51,0.53
