Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.79,1.56,1.79,-2.12,-1.85,-0.4,-0.75
HOTELLING,1.12,1.0,1.12,1.0,0.49,0.44,0.49,0.5
LINEAR,0.44,0.43,0.48,0.43,0.71,0.65,0.15,0.68
