Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.84,1.54,1.86,1.54,0.58,0.54,0.75,0.78
HOTELLING,1.13,1.0,1.1,1.0,0.33,0.44,0.52,0.42
LINEAR,0.47,0.43,0.46,0.43,0.06,0.04,0.62,0.4
