Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.66,1.91,1.55,1.91,-4.13,-3.74,-0.88,-1.28
HOTELLING,1.13,1.0,1.15,1.0,0.5,0.55,0.52,0.59
LINEAR,0.44,0.43,0.46,0.43,1.11,1.09,0.14,0.45
