Model,PSO Avg. Prices,Theo. Prices,DQN Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DQN Extra-profits Δ,PSO RPDI,DQN RPDI
LOGIT,1.69,1.91,1.69,1.91,-1.96,-2.42,-0.82,-0.81
HOTELLING,1.14,1.0,1.13,1.0,0.52,0.55,0.57,0.53
LINEAR,0.44,0.43,0.47,0.43,1.07,1.09,0.16,0.53
