Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Extra-profits Δ
LOGIT,1.63,1.54,1.64,1.54,0.2
HOTELLING,1.12,1.0,1.12,1.0,0.44
LINEAR,0.46,0.43,0.46,0.43,0.11
