Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Extra-profits Δ
LOGIT,1.64,1.54,1.67,1.54,0.32
HOTELLING,1.12,1.0,1.13,1.0,0.5
LINEAR,0.47,0.43,0.47,0.43,2.38
