Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Extra-profits Δ
LOGIT,1.65,1.91,1.66,1.91,-2.97
HOTELLING,1.13,1.0,1.13,1.0,0.5
LINEAR,0.47,0.43,0.47,0.43,1.32
