Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Extra-profits Δ
LOGIT,1.48,1.91,1.48,1.91,-4.8
HOTELLING,1.02,1.0,1.01,1.0,0.07
LINEAR,0.48,0.43,0.5,0.43,1.33
