Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ
LOGIT,1.6,1.54,1.68,1.54,0.56,0.06
HOTELLING,1.11,1.0,1.14,1.0,0.56,0.43
LINEAR,0.46,0.43,0.44,0.43,0.05,0.12
