Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.9,1.78,1.9,-1.23,-4.04,-0.75,-0.41
HOTELLING,1.13,1.0,1.13,1.0,0.57,0.41,0.53,0.53
LINEAR,0.47,0.43,0.47,0.43,1.06,1.28,0.53,0.59
