Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.82,1.54,1.81,1.54,0.4,0.48,0.7,0.68
HOTELLING,1.11,1.0,1.1,1.0,0.3,0.41,0.46,0.39
LINEAR,0.46,0.43,0.47,0.43,0.03,0.01,0.4,0.53
