Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.54,1.61,1.54,0.1,0.01,0.32,0.17
HOTELLING,1.13,1.0,1.08,1.0,0.33,0.43,0.52,0.34
LINEAR,0.44,0.43,0.46,0.43,0.08,-0.03,0.15,0.5
