Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.76,1.89,1.83,1.89,-1.42,-2.58,-0.48,-0.21
HOTELLING,1.15,1.0,1.13,1.0,0.42,0.59,0.61,0.51
LINEAR,0.47,0.43,0.48,0.43,1.44,1.18,0.59,0.68
