Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.69,1.79,1.77,1.79,-0.44,-2.2,-0.36,-0.08
HOTELLING,1.12,1.0,1.13,1.0,0.5,0.41,0.49,0.52
LINEAR,0.46,0.43,0.47,0.43,0.7,0.72,0.5,0.61
