Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.69,1.91,1.77,1.91,-1.74,-3.94,-0.82,-0.53
HOTELLING,1.12,1.0,1.13,1.0,0.52,0.42,0.5,0.53
LINEAR,0.46,0.43,0.47,0.43,1.39,1.24,0.51,0.6
