Model,Q Avg. Prices,Theo. Prices,DQN Avg. Prices,Q Δ,DQN Δ,Q RPDI,DQN RPDI
LOGIT,1.68,1.54,1.69,0.3,0.24,0.35,0.38
HOTELLING,1.12,1.0,1.13,0.47,0.48,0.5,0.53
LINEAR,0.46,0.43,0.47,0.1,0.02,0.49,0.52
