Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.78,1.89,1.7,1.89,-3.52,-2.53,-0.4,-0.69
HOTELLING,1.14,1.0,1.15,1.0,0.45,0.6,0.57,0.59
LINEAR,0.46,0.43,0.48,0.43,1.29,1.12,0.51,0.71
