Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.54,1.63,1.54,0.22,-0.05,0.32,0.24
HOTELLING,1.13,1.0,1.13,1.0,0.49,0.47,0.53,0.51
LINEAR,0.44,0.43,0.45,0.43,0.05,-0.03,0.14,0.33
