Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.54,1.79,1.54,0.72,-0.17,0.36,0.62
HOTELLING,1.13,1.0,1.14,1.0,0.49,0.45,0.5,0.56
LINEAR,0.47,0.43,0.47,0.43,0.12,-0.01,0.51,0.51
