Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.83,1.53,1.82,1.53,0.47,0.58,0.72,0.69
HOTELLING,1.12,1.0,1.12,1.0,0.37,0.42,0.46,0.47
LINEAR,0.46,0.43,0.46,0.43,0.05,-0.0,0.5,0.45
