Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.57,1.9,1.58,1.9,-3.46,-3.29,-1.22,-1.21
HOTELLING,1.06,1.0,1.06,1.0,0.19,0.29,0.23,0.25
LINEAR,0.43,0.43,0.43,0.43,1.0,1.01,0.06,0.06
