Model,Q Avg. Prices,Theo. Prices,DQN Avg. Prices,Q Δ,DQN Δ,Q RPDI,DQN RPDI
LOGIT,1.69,1.8,1.7,-1.33,-1.45,-0.38,-0.35
HOTELLING,1.13,1.0,1.13,0.5,0.48,0.51,0.53
LINEAR,0.47,0.43,0.47,0.75,0.66,0.51,0.52
