Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.69,1.54,1.69,1.54,0.33,0.32,0.39,0.39
HOTELLING,1.13,1.0,1.13,1.0,0.46,0.52,0.53,0.53
LINEAR,0.47,0.43,0.47,0.43,0.04,0.1,0.52,0.52
