Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.92,1.71,1.92,-2.84,-3.91,-0.84,-0.77
HOTELLING,1.13,1.0,1.15,1.0,0.58,0.46,0.53,0.59
LINEAR,0.47,0.43,0.47,0.43,1.4,1.05,0.53,0.58
