Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.75,1.91,1.75,1.91,-3.43,-3.24,-0.65,-0.62
HOTELLING,1.11,1.0,1.18,1.0,0.7,0.33,0.43,0.71
LINEAR,0.47,0.43,0.47,0.43,1.11,1.25,0.57,0.51
