Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.7,1.79,1.7,1.79,-1.27,-1.29,-0.32,-0.32
HOTELLING,1.13,1.0,1.14,1.0,0.5,0.52,0.54,0.54
LINEAR,0.47,0.43,0.47,0.43,0.74,0.73,0.52,0.53
