Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.58,1.47,1.57,1.47,0.32,0.34,0.23,0.22
HOTELLING,1.06,1.0,1.07,1.0,0.26,0.26,0.26,0.26
LINEAR,0.43,0.43,0.43,0.43,0.01,0.01,0.07,0.07
