Matchup,Shock,Model,Agent1_Avg_Prices,Theo_Prices,Agent2_Avg_Prices,Theo_Prices_2,Agent1_Delta,Agent2_Delta,Agent1_RPDI,Agent2_RPDI
PSO vs PSO,B,LINEAR,0.43,0.43,0.43,0.43,0.07,0.06,0.05,0.05
PSO vs PSO,C,LOGIT,1.57,1.91,1.57,1.91,-3.42,-3.49,-1.23,-1.22
PSO vs PSO,C,HOTELLING,1.06,1,1.06,1,0.25,0.23,0.25,0.24
PSO vs PSO,C,LINEAR,0.43,0.43,0.43,0.43,1.12,1.1,0.05,0.05
PSO vs DQN,0,LOGIT,1.68,1.47,1.65,1.47,0.47,0.57,0.47,0.39
PSO vs DQN,0,HOTELLING,1.14,1,1.1,1,0.39,0.56,0.58,0.41
PSO vs DQN,0,LINEAR,0.44,0.43,0.46,0.43,0.08,-0.02,0.14,0.5
PSO vs DQN,A,LOGIT,1.68,1.8,1.66,1.8,-1.17,-1.18,-0.39,-0.47
PSO vs DQN,A,HOTELLING,1.14,1,1.14,1,0.56,0.54,0.57,0.56
PSO vs DQN,A,LINEAR,0.44,0.43,0.47,0.43,0.69,0.7,0.14,0.63
PSO vs DQN,B,LOGIT,1.68,1.54,1.65,1.54,0.32,0.42,0.36,0.27
PSO vs DQN,B,HOTELLING,1.14,1,1.12,1,0.47,0.54,0.57,0.48
PSO vs DQN,B,LINEAR,0.44,0.43,0.47,0.43,0.15,0.03,0.14,0.57
PSO vs DQN,C,LOGIT,1.68,1.91,1.67,1.91,-2.3,-2.5,-0.81,-0.88
PSO vs DQN,C,HOTELLING,1.14,1,1.15,1,0.6,0.54,0.58,0.59
PSO vs DQN,C,LINEAR,0.44,0.43,0.47,0.43,1.22,1.28,0.14,0.64
PSO vs DDPG,0,LOGIT,1.57,1.47,1.41,1.47,-0.35,0.25,0.22,-0.15
PSO vs DDPG,0,HOTELLING,1.06,1,1.06,1,0.26,0.16,0.25,0.26
PSO vs DDPG,0,LINEAR,0.43,0.43,0.44,0.43,0.02,-0.02,0.06,0.13
PSO vs DDPG,A,LOGIT,1.68,1.8,1.46,1.8,-3.77,-1.59,-0.39,-1.17
PSO vs DDPG,A,HOTELLING,1.14,1,1.2,1,0.8,0.51,0.58,0.81
PSO vs DDPG,A,LINEAR,0.44,0.43,0.47,0.43,0.69,0.68,0.14,0.6
PSO vs DDPG,B,LOGIT,1.68,1.54,1.46,1.54,-0.68,0.31,0.36,-0.19
PSO vs DDPG,B,HOTELLING,1.14,1,1.12,1,0.46,0.48,0.58,0.47
PSO vs DDPG,B,LINEAR,0.44,0.43,0.46,0.43,0.13,0.01,0.14,0.42
PSO vs DDPG,C,LOGIT,1.68,1.91,1.52,1.91,-4.85,-3.42,-0.82,-1.43
PSO vs DDPG,C,HOTELLING,1.14,1,1.14,1,0.58,0.47,0.55,0.57
PSO vs DDPG,C,LINEAR,0.44,0.43,0.47,0.43,1.21,1.23,0.13,0.54
DQN vs DQN,0,LOGIT,1.66,1.47,1.66,1.47,0.41,0.42,0.41,0.4
DQN vs DQN,0,HOTELLING,1.11,1,1.11,1,0.42,0.42,0.46,0.46
DQN vs DQN,0,LINEAR,0.47,0.43,0.47,0.43,0.05,0.04,0.53,0.54
