Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.75,1.91,1.76,1.91,-3.19,-3.36,-0.62,-0.6
HOTELLING,1.14,1.0,1.15,1.0,0.48,0.55,0.55,0.59
LINEAR,0.47,0.43,0.46,0.43,1.24,1.18,0.51,0.48
