Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.91,1.73,1.91,-2.39,-3.88,-0.86,-0.67
HOTELLING,1.13,1.0,1.11,1.0,0.42,0.5,0.51,0.46
LINEAR,0.46,0.43,0.47,0.43,1.1,1.28,0.5,0.57
