Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.8,1.81,1.8,-0.09,-2.54,-0.38,0.05
HOTELLING,1.13,1.0,1.12,1.0,0.48,0.45,0.53,0.5
LINEAR,0.47,0.43,0.46,0.43,0.74,0.68,0.52,0.46
