Model,Q Avg. Prices,Theo. Prices,DQN Avg. Prices,Q Δ,DQN Δ,Q RPDI,DQN RPDI
LOGIT,1.68,1.47,1.69,0.5,0.43,0.46,0.49
HOTELLING,1.12,1.0,1.13,0.5,0.45,0.49,0.53
LINEAR,0.46,0.43,0.47,0.04,0.04,0.49,0.52
