Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.9,1.72,1.9,-2.49,-3.79,-0.81,-0.68
HOTELLING,1.12,1.0,1.17,1.0,0.58,0.54,0.5,0.7
LINEAR,0.46,0.43,0.47,0.43,1.22,1.31,0.49,0.56
