Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.69,1.54,1.85,1.54,1.01,-0.19,0.37,0.76
HOTELLING,1.12,1.0,1.17,1.0,0.69,0.38,0.5,0.69
LINEAR,0.46,0.43,0.46,0.43,0.08,-0.01,0.49,0.46
