Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.68,1.47,1.79,1.47,0.84,0.09,0.46,0.7
HOTELLING,1.12,1.0,1.16,1.0,0.6,0.4,0.5,0.62
LINEAR,0.47,0.43,0.47,0.43,0.05,0.02,0.52,0.56
