Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.9,1.7,1.9,-2.7,-3.43,-0.78,-0.76
HOTELLING,1.13,1.0,1.14,1.0,0.51,0.49,0.53,0.54
LINEAR,0.47,0.43,0.46,0.43,1.16,1.07,0.52,0.5
