Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.47,1.77,1.47,0.75,0.12,0.46,0.65
HOTELLING,1.12,1.0,1.11,1.0,0.41,0.39,0.47,0.45
LINEAR,0.46,0.43,0.45,0.43,0.01,0.04,0.47,0.32
