Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.8,1.77,1.8,-0.65,-2.42,-0.38,-0.09
HOTELLING,1.13,1.0,1.12,1.0,0.46,0.44,0.52,0.49
LINEAR,0.47,0.43,0.47,0.43,0.67,0.74,0.53,0.55
