Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.8,1.62,1.8,-1.68,-2.13,-0.44,-0.61
HOTELLING,1.13,1.0,1.12,1.0,0.51,0.42,0.51,0.49
LINEAR,0.44,0.43,0.47,0.43,0.64,0.64,0.14,0.51
