Model,Q Avg. Prices,Theo. Prices,DQN Avg. Prices,Q Δ,DQN Δ,Q RPDI,DQN RPDI
LOGIT,1.69,1.79,1.7,-1.09,-1.26,-0.34,-0.3
HOTELLING,1.13,1.0,1.13,0.49,0.5,0.51,0.54
LINEAR,0.46,0.43,0.47,0.68,0.78,0.51,0.52
