Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.79,1.77,1.79,-0.37,-2.19,-0.34,-0.05
HOTELLING,1.13,1.0,1.13,1.0,0.48,0.45,0.52,0.51
LINEAR,0.47,0.43,0.46,0.43,0.67,0.68,0.52,0.43
