Model,Q Avg. Prices,Theo. Prices,DQN Avg. Prices,Q Δ,DQN Δ,Q RPDI,DQN RPDI
LOGIT,1.69,1.8,1.7,-1.08,-1.27,-0.36,-0.33
HOTELLING,1.13,1.0,1.14,0.52,0.47,0.51,0.54
LINEAR,0.46,0.43,0.47,0.67,0.73,0.51,0.52
