Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.54,1.63,1.54,0.22,0.03,0.34,0.22
HOTELLING,1.13,1.0,1.14,1.0,0.5,0.49,0.53,0.55
LINEAR,0.44,0.43,0.46,0.43,0.06,-0.08,0.15,0.39
