Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.47,1.65,1.47,0.45,0.19,0.44,0.38
HOTELLING,1.13,1.0,1.13,1.0,0.52,0.44,0.53,0.52
LINEAR,0.44,0.43,0.47,0.43,0.08,-0.04,0.16,0.55
