Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.81,1.47,1.87,1.47,0.74,0.48,0.74,0.87
HOTELLING,1.14,1.0,1.14,1.0,0.47,0.46,0.54,0.55
LINEAR,0.46,0.43,0.47,0.43,0.04,0.01,0.49,0.59
