Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.69,1.53,1.69,1.53,0.34,0.34,0.39,0.39
HOTELLING,1.13,1.0,1.13,1.0,0.51,0.47,0.53,0.53
LINEAR,0.47,0.43,0.47,0.43,0.02,0.09,0.52,0.51
