Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ,Q RPDI,PSO RPDI
LOGIT,1.66,1.79,1.69,1.79,-1.03,-1.0,-0.42,-0.34
HOTELLING,1.13,1.0,1.14,1.0,0.53,0.54,0.53,0.57
LINEAR,0.47,0.43,0.44,0.43,0.64,0.65,0.52,0.16
