Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.47,1.75,1.47,0.67,0.13,0.45,0.61
HOTELLING,1.13,1.0,1.12,1.0,0.45,0.42,0.5,0.49
LINEAR,0.46,0.43,0.46,0.43,0.04,0.02,0.47,0.48
