Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.68,1.89,1.75,1.89,-2.52,-3.65,-0.77,-0.5
HOTELLING,1.14,1.0,1.12,1.0,0.42,0.56,0.57,0.49
LINEAR,0.47,0.43,0.46,0.43,1.04,1.31,0.53,0.46
