Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.9,1.61,1.9,-3.17,-3.96,-0.84,-1.06
HOTELLING,1.12,1.0,1.1,1.0,0.36,0.5,0.5,0.42
LINEAR,0.44,0.43,0.47,0.43,1.15,1.19,0.14,0.53
