Model,PSO Avg. Prices,Theo. Prices,DQN Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DQN Extra-profits Δ,PSO RPDI,DQN RPDI
LOGIT,1.69,1.89,1.69,1.89,-1.45,-2.1,-0.73,-0.72
HOTELLING,1.14,1.0,1.13,1.0,0.55,0.51,0.57,0.53
LINEAR,0.44,0.43,0.47,0.43,1.02,1.16,0.16,0.53
