Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.79,1.8,1.79,-0.27,-2.51,-0.37,0.02
HOTELLING,1.13,1.0,1.17,1.0,0.64,0.47,0.52,0.69
LINEAR,0.47,0.43,0.46,0.43,0.69,0.68,0.52,0.51
