Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.56,1.54,1.58,1.54,0.17,0.09,0.07,0.1
HOTELLING,1.06,1.0,1.06,1.0,0.26,0.21,0.24,0.23
LINEAR,0.43,0.43,0.43,0.43,0.02,-0.02,0.05,0.08
