Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ,Q RPDI,PSO RPDI
LOGIT,1.67,1.8,1.69,1.8,-1.2,-1.12,-0.46,-0.38
HOTELLING,1.13,1.0,1.14,1.0,0.53,0.52,0.52,0.57
LINEAR,0.47,0.43,0.44,0.43,0.66,0.65,0.53,0.16
